Track ID,Artist ID
852,567
853,10
854,568
855,569
856,570
857,571
858,572
859,175
860,573
861,574
862,575
863,563
863,2933
864,576
865,1
866,577
867,578
868,579
869,580
870,581
871,100
872,29
873,61
873,242
874,582
875,583
876,2934
876,465
877,1368
877,2935
878,430
879,584
880,401
880,2936
881,252
882,585
883,182
884,2903
884,2109
885,484
886,1915
886,2588
887,586
888,587
889,126
890,339
891,588
892,159
893,589
894,196
895,144
896,465
896,1725
897,220
898,2937
898,2370
899,149
899,1689
900,590
901,591
902,592
903,198
904,79
905,2852
905,805
906,2877
906,2815
907,244
908,593
909,2938
909,2332
910,20
911,958
911,559
912,594
913,585
914,29
915,574
916,595
917,465
918,61
918,113
919,239
920,596
921,597
922,1587
922,2764
923,598
924,2939
924,2940
925,599
926,13
927,154
928,600
929,601
930,602
931,293
932,126
933,943
933,413
934,905
934,2941
934,2942
935,111
936,603
937,2909
937,2943
938,604
939,605
940,606
941,607
942,608
943,218
944,609
945,610
946,611
947,439
948,2944
948,2945
949,2946
949,2433
949,2947
950,274
951,333
952,612
953,581
953,2928
954,734
954,2948
955,613
956,614
957,533
957,2949
958,615
959,485
960,2436
960,2950
961,386
962,549
963,616
964,555
965,189
966,617
967,392
968,2481
968,762
969,618
970,619
971,333
972,75
972,2520
973,620
974,621
975,2427
975,679
975,2951
976,622
977,623
978,2952
978,4
979,156
980,2904
980,2953
980,2905
981,586
982,393
983,124
984,605
984,2951
985,624
986,2644
986,2954
987,625
988,626
989,536
990,627
991,628
992,922
992,2955
993,42
994,629
995,2956
995,2957
995,2958
996,630
997,631
998,632
999,466
1000,633
1001,634
1002,635
1003,178
1003,244
1003,737
1004,636
1005,637
1006,638
1007,616
1008,569
1009,100
1010,639
1011,21
1012,563
1013,640
1014,2531
1014,2444
1015,525
1016,33
1017,2886
1017,113
1017,368
1018,641
1019,320
1020,113
1021,2959
1021,2960
1022,642
1023,2961
1023,2962
1023,2963
1024,643
1025,466
1026,334
1027,382
1028,2277
1028,1983
1029,644
1030,645
1031,2866
1031,2389
1031,2867
1032,306
1033,646
1034,647
1035,648
1036,346
1037,649
1038,650
1039,651
1040,652
1041,653
1042,32
1043,210
1044,516
1045,527
1046,654
1047,655
1048,656
1049,657
1050,658
1051,659
1052,102
1053,2852
1053,2953
1053,127
1054,425
1055,483
1056,271
1057,113
1058,660
1059,38
1060,172
1060,2262
1061,242
1062,185
1063,346
1064,661
1065,2964
1065,2965
1066,662
1067,663
1068,415
1069,126
1070,664
1071,665
1072,194
1073,666
1074,333
1075,10
1076,616
1077,667
1078,668
1079,8
1080,482
1080,54
1081,669
1082,76
1083,310
1084,670
1085,569
1086,595
1087,351
1088,671
1089,474
1090,672
1091,673
1092,55
1093,469
1094,49
1095,674
1096,61
1097,675
1098,676
1099,2784
1099,2520
1099,2966
1100,677
1101,678
1102,179
1103,304
1104,679
1105,680
1106,681
1107,682
1108,683
1109,357
1110,646
1111,684
1112,2967
1112,2968
1112,2969
1113,685
1114,686
1115,687
1116,126
1117,199
1118,460
1119,626
1120,195
1121,5
1122,737
1122,2970
1123,688
1124,393
1125,444
1126,1337
1126,958
1127,554
1128,689
1129,609
1129,2971
1130,690
1131,691
1132,349
1133,692
1134,693
1135,694
1136,34
1137,695
1138,696
1139,115
1139,292
1140,287
1141,652
1142,237
1143,5
1144,220
1145,697
1146,698
1147,2909
1147,176
1148,699
1149,104
1150,700
1151,701
1152,702
1153,300
1154,703
1155,704
1156,705
1157,140
1158,706
1159,689
1160,707
1161,230
1162,207
1163,92
1164,2972
1164,2973
1165,2974
1165,2975
1165,2976
1166,708
1167,2977
1167,2978
1168,493
1169,709
1170,710
1171,2502
1171,2979
1172,711
1173,712
1174,33
1174,2980
1175,713
1176,443
1177,102
1178,714
1179,715
1180,716
1181,717
1182,468
1183,376
1184,718
1185,1398
1185,1368
1185,2981
1186,719
1187,552
1188,720
1189,721
1190,132
1191,2061
1191,2982
1192,722
1193,723
1194,61
1195,40
1196,364
1197,724
1198,1827
1198,2831
1199,536
1200,725
1201,465
1201,2983
1201,2984
1202,726
1203,727
1204,600
1205,821
1205,478
1206,1462
1206,2490
1207,728
1208,364
1209,438
1210,345
1211,729
1212,95
1213,730
1214,581
1215,731
1216,732
1217,733
1218,29
1219,734
1220,735
1221,209
1222,520
1223,126
1224,187
1225,117
1226,2985
1226,2986
1227,549
1228,736
1229,140
1230,737
1231,738
1232,739
1233,646
1234,740
1235,2987
1235,1000
1236,741
1237,1093
1237,814
1238,683
1238,865
1239,42
1240,348
1241,742
1242,306
1243,633
1244,725
1245,175
1246,2988
1246,2131
1247,1784
1247,2989
1247,2990
1247,2991
1248,743
1249,409
1250,2992
1250,694
1251,479
1252,477
1253,744
1254,745
1255,269
1256,549
1257,746
1258,716
1258,466
1259,747
1260,748
1261,749
1262,537
1263,2502
1263,2769
1264,750
1265,751
1266,538
1267,27
1268,567
1268,2993
1269,648
1270,752
1271,1093
1271,274
1271,2462
1272,235
1273,753
1274,339
1275,754
1276,755
1277,2756
1277,2994
1278,49
1278,2995
1279,756
1280,119
1281,168
1282,757
1283,735
1284,758
1285,759
1286,410
1287,760
1288,27
1289,761
1290,762
1291,550
1292,2931
1292,586
1293,104
1294,2996
1294,679
1295,140
1296,254
1297,61
1298,763
1299,726
1300,331
1301,21
1302,764
