"Track ID","Track Name","Album ID","Artist ID(s)","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","ISRC","Label","Spotify ID"
"10","You're the Inspiration - 2009 Remaster","10","8","229426","https://p.scdn.co/mp3-preview/da2133abe8aa91b9fdcb911bfb6a2bda3fe293b1?cid=9950ac751e34487dbbe027c4fd7f8e99","False","39","0.578","0.606","11","-6.402","1","0.0282","0.377","0.0","0.317","0.357","73.912","4","USWB10905052","Rhino/Warner Records","6d7PQZtTbHbcYqaygOW7vs"
"11","The Key, The Secret","11","9","222666","https://p.scdn.co/mp3-preview/3da82e509c756338a79089a61bcb8439718aff29?cid=9950ac751e34487dbbe027c4fd7f8e99","False","53","0.702","0.796","10","-6.99","1","0.0315","0.0759","0.00253","0.109","0.607","129.878","4","GBBLG0400734","Demon","0Lg4ckCFjFUeyHOeSozcWS"
"12","Paradise City","12","10","406306","https://p.scdn.co/mp3-preview/6c99e08ad1885d08023354ac96b546ffe3dee44b?cid=9950ac751e34487dbbe027c4fd7f8e99","False","1","0.274","0.949","11","-8.642","1","0.0896","0.0214","0.00778","0.218","0.497","100.346","4","USGF18714806","Interscope","5Q41NLTmGbVPozwHKK7bk2"
"13","Tonight I'm Yours (Don't Hurt Me)","13","11","251866","https://p.scdn.co/mp3-preview/162ced11bcc44aba0660912ece34e6abf716f304?cid=9950ac751e34487dbbe027c4fd7f8e99","False","42","0.68","0.826","9","-4.958","1","0.0671","0.0683","0.444","0.0861","0.963","158.314","4","USWB10807933","Rhino/Warner Records","5sgVguJJlA7thC8ybAFOo5"
"14","You Were On My Mind","14","12","156640","https://p.scdn.co/mp3-preview/217b818c56d595818b5c4c0aa85bdd2127d1178f?cid=9950ac751e34487dbbe027c4fd7f8e99","False","9","0.533","0.533","1","-7.92","0","0.064","0.293","0.0","0.0996","0.638","140.494","4","USA371229623","Master Classics Records","43wMcgNk8o3Qx7jxg3Lkfo"
"15","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","15","1689, 448, 3059","248413","https://p.scdn.co/mp3-preview/9b7eaf7fb5cab29251df52e9a4f46fad14e29aa1?cid=9950ac751e34487dbbe027c4fd7f8e99","False","78","0.794","0.811","6","-8.966","0","0.038","0.0426","1.07e-06","0.101","0.862","116.047","4","USQX91300809","Columbia","2Foc5Q5nqNiosCNqttzHof"
"16","Party","16","13","194533","https://p.scdn.co/mp3-preview/36827067c6d3fa27e82be16932e15c3439fc4fe6?cid=9950ac751e34487dbbe027c4fd7f8e99","False","32","0.734","0.923","11","-8.189","1","0.0561","0.0495","1.29e-05","0.0612","0.847","109.661","4","AUMU09500006","WM Australia","6LZOgBvntXL1egqIHHPnhn"
"17","Riptide","17","14","201733","https://p.scdn.co/mp3-preview/d2a7f46a047a571376722c395eeb8e44dd0611b3?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.502","0.719","1","-6.649","1","0.0349","0.46","0.0","0.114","0.438","101.609","4","AULI01385760","Liberation Records","5ma71INSTL8sY1HzjVBj2g"
"18","Heartaches By The Number","18","15","153901","https://p.scdn.co/mp3-preview/2ff3470357bdc73a6308129edd834f90fa38e95f?cid=9950ac751e34487dbbe027c4fd7f8e99","False","8","0.518","0.556","5","-13.264","1","0.0479","0.526","3e-06","0.0853","0.736","171.496","4","GBQRF0832786","Vision 21 OMP","2SBQBV1atDy4tbEfGicT7u"
"19","The Edge of Heaven","19","16","270800","https://p.scdn.co/mp3-preview/52a96c7043d7a2d9a83f55b88b7dab1bc5934786?cid=9950ac751e34487dbbe027c4fd7f8e99","False","50","0.493","0.665","9","-13.817","0","0.0424","0.117","0.0","0.159","0.877","152.644","4","GBBBN0009290","Columbia","5AhRNIjYPBleR1lfHphcrE"
