"Artist ID","Artist Name","Artist Genres","Spotify ID"
"72","The B-52's","album rock,classic rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo","3gdbcIdNypBsYNu3iiCjtN"
"73","Nelly, Christina Aguilera","dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary,dance pop,pop","2gBjLmx6zQnFGQJCAQpRgw"
"74","The Overlanders","","6CZ47nllxoNELmf1dScwPh"
"75","The Pussycat Dolls, Snoop Dogg","dance pop,girl group,pop,g funk,gangster rap,hip hop,pop rap,rap,west coast rap","6wPhSqRtPu1UhRCDX5yaDJ"
"76","The Living End","australian alternative rock,australian rock,australian ska","3ExT45ORJ8pT516HRZbr7G"
"77","The Style Council","new romantic,new wave,new wave pop,sophisti-pop","3loflELg7MzgrOyNqERolN"
"78","Quad City DJ's","miami bass","4mar1GMMEhvGyJdWagu6KS"
"79","Dami Im","australian pop,australian talent show,talent show","2wSrZOe6YVo6XoKma22sdY"
"80","John Paul Young","australian dance,classic uk pop","2wMcQIxzH2LYHJZNxo9FcN"
"81","Youth Group","","51K48NCxjB11t9eqUWWoIq"
"82","Billy Field","australian rock","72TwyCcvk2jm4gZSGEPjhb"
"83","P.J. Proby","merseybeat,rock-and-roll","3g4Os4LNZvOQUaokeSLCwG"
"84","Men At Work","album rock,australian rock,classic rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock","0f3EsoviYnRKTkmayI3cux"
"85","E^ST","australian indie","7ASucWaI33cepJbo74Hlo0"
"86","Fountains Of Wayne","pop rock,power pop","1pgtr4nhBQjp9oCUBPyYWh"
"87","Michael Bolton","soft rock","6YHEMoNPbcheiWS2haGzkn"
"88","Adrian Lux","","5kp9Qhzri9LrDkzrtjt5Sh"
"89","Spiderbait","australian alternative rock,australian rock","6P7kkhED6EPrfoZuxz20Fo"
"90","Chocolate Starfish","australian rock","31Qm8tlnFdAbGPok6Rfhz3"
"91","Culture Beat","eurodance,europop,german techno,hip house","0BZ3BHzfYwpd3k5TDnvAz8"
"92","Miley Cyrus","pop","5YGY8feqx7naU7z4HrwZM6"
"93","Samantha Jade","australian pop,australian talent show","5i84V8Zk7YqCN6xxb7SWgw"
"94","The Marvelettes","classic girl group,classic soul,motown,soul,southern soul","0MponVSpW81oLvJZ53vYZH"
"95","Stevie Wonder","motown,soul","7guDJrEfX3qb6FEbdPA5qi"
"96","Damien Leith","australian pop","5XVcYaeSTGZXwxd63aY9Tv"
"97","Bonnie Tyler","europop,new wave pop,soft rock","0SD4eZCN4Kr0wQk56hCdh2"
"98","Chris de Burgh","new wave pop,soft rock","2RpHsROrX075xfIwHn6B2U"
"99","Evermore","australian alternative rock,australian rock,kiwi rock","5VWIuZAPbBdtFHdbDyYeHQ"
"100","Elvis Presley","rock-and-roll,rockabilly","43ZHCT0cAZBISjO8DG9PnE"
"101","Peter Allen","deep soft rock","6748v9yNrbb4PPJuvfoMRa"
"102","Bee Gees","disco,mellow gold,soft rock","1LZEQNv7sE11VDY3SdxQeN"
"103","Roddy Ricch","melodic rap,rap,trap","757aE44tKEUQEqRuT6GnEB"
"104","Shawn Mendes","canadian pop,pop,viral pop","7n2wHs1TKAczGzO7Dd2rGr"
"105","Hootie & The Blowfish","pop rock,post-grunge","08ct2eZF5lUPdJpHwNKWof"
"106","The Exciters","classic girl group,northern soul","2GF1B0GIaFrLFLdfH6ufRO"
"107","The La De Da's","classic nz pop","6LUNCFwAUUaWSDtaOcTpJH"
"108","Bluejuice","australian alternative rock,australian indie","7sCcPQQft3sSxcJaB30dlb"
"109","Paramore","candy pop,modern rock,pixie,pop,pop emo,pop punk,rock","74XFHRwlV6OrjEM0A2NCMF"
"110","Ugly Kid Joe","funk metal,funk rock,glam metal,hard rock","3XsgWn63EnA4wYZBjVyxjf"
"111","Night Ranger","album rock,classic rock,glam metal,hard rock,soft rock","1Ha0Fz4i0d4gu5fZbhBCtH"
"112","The Drifters","adult standards,classic soul,doo-wop,rock-and-roll,rockabilly,soul","1FqqOl9itIUpXr4jZPIVoT"
"113","Rihanna","barbadian pop,pop,urban contemporary","5pKCCKE2ajJHZ9KAiaK11H"
"114","Johnny Diesel & The Injectors","australian rock","0Nlg1HCtb8dpeVpxQojDiq"
"115","Ed Sheeran","pop,singer-songwriter pop,uk pop","6eUKZXaKkcviH0Ku9w2n3V"
"116","Steve Perry","album rock,mellow gold,new wave pop,soft rock,yacht rock","5xQKoGD7Ql92fWd1uWwKkf"
"117","Backstreet Boys","boy band,dance pop,pop","5rSXSAkZ67PYJSvpUpkOr7"
"118","Scorpions","album rock,german hard rock,german metal,german rock,hard rock,rock","27T030eWyCQRmDyuvr1kxY"
"119","Green Day","modern rock,permanent wave,punk,rock","7oPftvlwr6VrsViSDV7fJY"
"120","Tom Petty and the Heartbreakers","album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock","4tX2TplrkIP4v05BNC903e"
"121","Mike + The Mechanics","album rock,mellow gold,new romantic,new wave,new wave pop,soft rock","2yTUYhIf8fxptTIy3KLuJD"
